Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
hazel-3-seater-sofa,Hazel Fabric 3 Seater Sofa,"<p>A sophisticated, contemporary 3-seater sofa crafted in premium textured Chenille Bouclé upholstery.<br/>    <br/>Engineered with high-density 32-density foam cushions and a reinforced zig-zag spring suspension system to provide long-lasting ergonomic lumbar support and plush sink-in comfort.</p><p>Solid kiln-dried hardwood internal frame with anti-termite treatment, designed specifically for modern Indian living rooms.</p>",EKKAYI,Furniture,Living Room Sofas,"furniture, sofas, luxury, 3 Seater",TRUE,Title,Default Title,,,,,EKKAYI-1000,45000,shopify,15,deny,manual,34900,49990,TRUE,TRUE,,https://images.unsplash.com/photo-1555041469-a586c61ea9bc?auto=format&fit=crop&w=1000&q=80,1,Hazel Fabric 3 Seater Sofa,FALSE,Hazel Fabric 3 Seater Sofa | EKKAYI Artisanal Furniture,"A sophisticated, contemporary 3-seater sofa crafted in premium textured Chenille Bouclé upholstery.
    
Engineered with high-density 32-density foam cushions a",Furniture,,,EKKAYI-1000,,,new,,,,,,,,kg,,,active
hazel-3-seater-sofa,,,,,,,,,,,,,,,,,,,,,,,,,https://images.unsplash.com/photo-1493663284031-b7e3aefcae8e?auto=format&fit=crop&w=1000&q=80,2,Hazel Fabric 3 Seater Sofa - View 2,,,,,,,,,,,,,,,,,,,,,
hazel-2-seater-sofa,Hazel Fabric 2 Seater Loveseat,"<p>Compact luxury crafted for cozy corners and urban living spaces. The Hazel 2-Seater pairs the warmth of textured Bouclé fabric with minimalist clean geometry.</p><p>Features high-resilience foam core, pocket spring seats, and sturdy tapered timber legs designed for easy robotic vacuum cleaning.</p>",EKKAYI,Furniture,Living Room Sofas,"furniture, sofas, luxury, 2 Seater",TRUE,Title,Default Title,,,,,EKKAYI-1001,45000,shopify,15,deny,manual,27900,38990,TRUE,TRUE,,https://images.unsplash.com/photo-1586023492125-27b2c045efd7?auto=format&fit=crop&w=1000&q=80,1,Hazel Fabric 2 Seater Loveseat,FALSE,Hazel Fabric 2 Seater Loveseat | EKKAYI Artisanal Furniture,"Compact luxury crafted for cozy corners and urban living spaces. The Hazel 2-Seater pairs the warmth of textured Bouclé fabric with minimalist clean geometry.

",Furniture,,,EKKAYI-1001,,,new,,,,,,,,kg,,,active
hazel-2-seater-sofa,,,,,,,,,,,,,,,,,,,,,,,,,https://images.unsplash.com/photo-1555041469-a586c61ea9bc?auto=format&fit=crop&w=1000&q=80,2,Hazel Fabric 2 Seater Loveseat - View 2,,,,,,,,,,,,,,,,,,,,,
valencia-l-shape-sectional-sofa,Valencia L-Shape Corner Sectional Sofa,<p>An expansive 5-seater corner sectional sofa designed for generous family entertaining. Reversible chaise configuration allows left or right corner placement according to your floor plan.</p><p>Multi-density layered foam with feather-blend toppers ensures superior sink-in relaxation.</p>,EKKAYI,Furniture,Living Room Sofas,"furniture, sofas, luxury, 5 Seater L-Shape",TRUE,Title,Default Title,,,,,EKKAYI-1002,45000,shopify,15,deny,manual,54900,79990,TRUE,TRUE,,https://images.unsplash.com/photo-1493663284031-b7e3aefcae8e?auto=format&fit=crop&w=1000&q=80,1,Valencia L-Shape Corner Sectional Sofa,FALSE,Valencia L-Shape Corner Sectional Sofa | EKKAYI Artisanal Furniture,An expansive 5-seater corner sectional sofa designed for generous family entertaining. Reversible chaise configuration allows left or right corner placement acc,Furniture,,,EKKAYI-1002,,,new,,,,,,,,kg,,,active
valencia-l-shape-sectional-sofa,,,,,,,,,,,,,,,,,,,,,,,,,https://images.unsplash.com/photo-1555041469-a586c61ea9bc?auto=format&fit=crop&w=1000&q=80,2,Valencia L-Shape Corner Sectional Sofa - View 2,,,,,,,,,,,,,,,,,,,,,
liora-3-seater-electric-recliner,Liora 3 Seater Electric Recliner Sofa,"<p>Cinema-grade luxury in your living room. The Liora 3-Seater Electric Recliner features dual whisper-quiet motorized mechanisms with integrated USB fast-charging ports.</p><p>Multi-tier padded headrests and overstuffed armrests offer zero-gravity pressure relief, upholstered in stain-resistant velvet suede fabric.</p>",EKKAYI,Furniture,Living Room Sofas,"furniture, sofas, luxury, 3 Seater (Dual Power Recliner)",TRUE,Title,Default Title,,,,,EKKAYI-1003,45000,shopify,15,deny,manual,74900,109990,TRUE,TRUE,,https://images.unsplash.com/photo-1583847268964-b28dc8f51f92?auto=format&fit=crop&w=1000&q=80,1,Liora 3 Seater Electric Recliner Sofa,FALSE,Liora 3 Seater Electric Recliner Sofa | EKKAYI Artisanal Furniture,Cinema-grade luxury in your living room. The Liora 3-Seater Electric Recliner features dual whisper-quiet motorized mechanisms with integrated USB fast-charging,Furniture,,,EKKAYI-1003,,,new,,,,,,,,kg,,,active
liora-3-seater-electric-recliner,,,,,,,,,,,,,,,,,,,,,,,,,https://images.unsplash.com/photo-1555041469-a586c61ea9bc?auto=format&fit=crop&w=1000&q=80,2,Liora 3 Seater Electric Recliner Sofa - View 2,,,,,,,,,,,,,,,,,,,,,
liora-2-seater-recliner-console,Liora 2 Seater Home Theatre Recliner with Console,"<p>The ultimate couple home theatre setup. Includes a central storage console with soft-close lid, hidden storage for remotes, twin stainless steel cup holders, and dual motorized power recliners.</p>",EKKAYI,Furniture,Living Room Sofas,"furniture, sofas, luxury, 2 Seater with Console",TRUE,Title,Default Title,,,,,EKKAYI-1004,45000,shopify,15,deny,manual,59900,84990,TRUE,TRUE,,https://images.unsplash.com/photo-1583847268964-b28dc8f51f92?auto=format&fit=crop&w=1000&q=80,1,Liora 2 Seater Home Theatre Recliner with Console,FALSE,Liora 2 Seater Home Theatre Recliner with Console | EKKAYI Artisanal Furniture,"The ultimate couple home theatre setup. Includes a central storage console with soft-close lid, hidden storage for remotes, twin stainless steel cup holders, an",Furniture,,,EKKAYI-1004,,,new,,,,,,,,kg,,,active
liora-2-seater-recliner-console,,,,,,,,,,,,,,,,,,,,,,,,,https://images.unsplash.com/photo-1555041469-a586c61ea9bc?auto=format&fit=crop&w=1000&q=80,2,Liora 2 Seater Home Theatre Recliner with Console - View 2,,,,,,,,,,,,,,,,,,,,,
riga-3-seater-sofa,Riga Modern 3 Seater Sofa,"<p>Clean Scandinavian lines meet everyday practicality. The Riga 3-Seater Sofa features subtle button-tufted backrest detailing and gently rounded track arms.</p><p>Upholstered in breathable, fade-resistant polyester fabric that stays cool in all seasons, supported by an S-spring suspension system.</p>",EKKAYI,Furniture,Living Room Sofas,"furniture, sofas, luxury, 3 Seater",TRUE,Title,Default Title,,,,,EKKAYI-1005,45000,shopify,15,deny,manual,29900,42990,TRUE,TRUE,,https://images.unsplash.com/photo-1493663284031-b7e3aefcae8e?auto=format&fit=crop&w=1000&q=80,1,Riga Modern 3 Seater Sofa,FALSE,Riga Modern 3 Seater Sofa | EKKAYI Artisanal Furniture,"Clean Scandinavian lines meet everyday practicality. The Riga 3-Seater Sofa features subtle button-tufted backrest detailing and gently rounded track arms.

Uph",Furniture,,,EKKAYI-1005,,,new,,,,,,,,kg,,,active
riga-3-seater-sofa,,,,,,,,,,,,,,,,,,,,,,,,,https://images.unsplash.com/photo-1555041469-a586c61ea9bc?auto=format&fit=crop&w=1000&q=80,2,Riga Modern 3 Seater Sofa - View 2,,,,,,,,,,,,,,,,,,,,,
lavista-sofa-bed,Lavista Multi-Functional Sofa Cum Bed,"<p>The ultimate multi-functional transformer for modern living. Effortlessly transitions from a generous 3-seater sofa into a supportive queen-size guest bed in seconds.</p><p>Built with an integrated reinforced solid wood box storage base for pillows and duvets, topped with 40-density 50mm orthopedic grade foam cushions.</p>",EKKAYI,Furniture,Living Room Sofas,"furniture, sofas, luxury, 3 Seater (Converts to Queen Bed)",TRUE,Title,Default Title,,,,,EKKAYI-1006,45000,shopify,15,deny,manual,39900,59990,TRUE,TRUE,,https://images.unsplash.com/photo-1540574163026-643ea20ade25?auto=format&fit=crop&w=1000&q=80,1,Lavista Multi-Functional Sofa Cum Bed,FALSE,Lavista Multi-Functional Sofa Cum Bed | EKKAYI Artisanal Furniture,The ultimate multi-functional transformer for modern living. Effortlessly transitions from a generous 3-seater sofa into a supportive queen-size guest bed in se,Furniture,,,EKKAYI-1006,,,new,,,,,,,,kg,,,active
lavista-sofa-bed,,,,,,,,,,,,,,,,,,,,,,,,,https://images.unsplash.com/photo-1555041469-a586c61ea9bc?auto=format&fit=crop&w=1000&q=80,2,Lavista Multi-Functional Sofa Cum Bed - View 2,,,,,,,,,,,,,,,,,,,,,
stella-velvet-chesterfield-sofa,Stella Velvet 3 Seater Chesterfield Sofa,"<p>Timeless British sophistication. Handcrafted with deep diamond-button tufting across the rolled arms and backrest, dressed in rich jewel-toned velvet fabric with turned wooden legs.</p>",EKKAYI,Furniture,Living Room Sofas,"furniture, sofas, luxury, 3 Seater",TRUE,Title,Default Title,,,,,EKKAYI-1007,45000,shopify,15,deny,manual,42500,62000,TRUE,TRUE,,https://images.unsplash.com/photo-1550254478-ead40cc54513?auto=format&fit=crop&w=1000&q=80,1,Stella Velvet 3 Seater Chesterfield Sofa,FALSE,Stella Velvet 3 Seater Chesterfield Sofa | EKKAYI Artisanal Furniture,"Timeless British sophistication. Handcrafted with deep diamond-button tufting across the rolled arms and backrest, dressed in rich jewel-toned velvet fabric wit",Furniture,,,EKKAYI-1007,,,new,,,,,,,,kg,,,active
stella-velvet-chesterfield-sofa,,,,,,,,,,,,,,,,,,,,,,,,,https://images.unsplash.com/photo-1555041469-a586c61ea9bc?auto=format&fit=crop&w=1000&q=80,2,Stella Velvet 3 Seater Chesterfield Sofa - View 2,,,,,,,,,,,,,,,,,,,,,
